Unit.ID	Time	Date	Timestamp	Manual_Plant_height_cm	Leaf_number	Wue	Plant_biomass	Ligulated_leaf_number	Plant_emergence	Plant_transpiration	Daily_wu	Soil_water_potential	Genotype	Soil	Replication	Row	Column	Platform
33	NA	2019-10-28	NA	7.2	2	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	6	33	1	FZJ
33	NA	2019-10-31	NA	14.5	3.2	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	6	33	1	FZJ
33	NA	2019-11-04	NA	26	4.2	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	6	33	1	FZJ
33	NA	2019-11-07	NA	34	5	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	6	33	1	FZJ
33	NA	2019-11-11	NA	43	6	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	6	33	1	FZJ
34	NA	2019-10-28	NA	7.5	2	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	6	34	1	FZJ
34	NA	2019-10-31	NA	14.8	3	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	6	34	1	FZJ
34	NA	2019-11-04	NA	25.4	3.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	6	34	1	FZJ
34	NA	2019-11-07	NA	28.5	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	6	34	1	FZJ
34	NA	2019-11-11	NA	31.2	5	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	6	34	1	FZJ
35	NA	2019-10-28	NA	6.4	2	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	6	35	1	FZJ
35	NA	2019-10-31	NA	12.5	3.2	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	6	35	1	FZJ
35	NA	2019-11-04	NA	19.5	4.2	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	6	35	1	FZJ
35	NA	2019-11-07	NA	25	5	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	6	35	1	FZJ
35	NA	2019-11-11	NA	33.5	6	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	6	35	1	FZJ
36	NA	2019-10-28	NA	8.5	2.2	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	6	36	1	FZJ
36	NA	2019-10-31	NA	21.1	3.5	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	6	36	1	FZJ
36	NA	2019-11-04	NA	36.5	4	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	6	36	1	FZJ
36	NA	2019-11-07	NA	44	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	6	36	1	FZJ
36	NA	2019-11-11	NA	52.3	5.8	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	6	36	1	FZJ
37	NA	2019-10-28	NA	3	1	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	3	1	2	FZJ
37	NA	2019-10-31	NA	10	2.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	3	1	2	FZJ
37	NA	2019-11-04	NA	18.5	3.5	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	3	1	2	FZJ
37	NA	2019-11-07	NA	28.8	3.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	3	1	2	FZJ
37	NA	2019-11-11	NA	31.8	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	3	1	2	FZJ
38	NA	2019-10-28	NA	8	2	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	3	2	2	FZJ
38	NA	2019-10-31	NA	18	3	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	3	2	2	FZJ
38	NA	2019-11-04	NA	27	3.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	3	2	2	FZJ
38	NA	2019-11-11	NA	32.5	5	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	3	2	2	FZJ
38	NA	2019-11-07	NA	37	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	3	2	2	FZJ
39	NA	2019-10-28	NA	8	2	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	3	3	2	FZJ
