Unit.ID	Time	Date	Timestamp	Manual_Plant_height_cm	Leaf_number	Wue	Plant_biomass	Ligulated_leaf_number	Plant_emergence	Plant_transpiration	Daily_wu	Soil_water_potential	Genotype	Soil	Replication	Row	Column	Platform
67	09:52:06	2020-09-14	2020-09-14 09:52:06	NA	NA	-17.8083231247319	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	7	14	15	ALSIA
18	09:52:44	2020-09-14	2020-09-14 09:52:44	NA	NA	-7.49104963840308	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	8	15	15	ALSIA
58	09:53:22	2020-09-14	2020-09-14 09:53:22	NA	NA	-13.6961441859914	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	8	16	15	ALSIA
88	09:54:38	2020-09-14	2020-09-14 09:54:38	NA	NA	-5.24857256077212	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	8	18	15	ALSIA
48	09:55:16	2020-09-14	2020-09-14 09:55:16	NA	NA	-12.5919544562376	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	8	19	15	ALSIA
38	09:55:51	2020-09-14	2020-09-14 09:55:51	NA	NA	-8.02398972299599	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	8	20	15	ALSIA
8	09:56:29	2020-09-14	2020-09-14 09:56:29	NA	NA	-9.2966119178088	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	8	21	15	ALSIA
28	09:57:07	2020-09-14	2020-09-14 09:57:07	NA	NA	-13.8905647175896	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	8	22	15	ALSIA
78	09:59:01	2020-09-14	2020-09-14 09:59:01	NA	NA	-16.1328284197547	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	8	25	15	ALSIA
68	09:59:41	2020-09-14	2020-09-14 09:59:41	NA	NA	-16.6474259650631	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	8	26	15	ALSIA
35	10:20:24	2020-09-14	2020-09-14 10:20:24	NA	NA	-6.92549229797921	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	5	1	16	ALSIA
5	10:20:54	2020-09-14	2020-09-14 10:20:54	NA	NA	-9.61659049959004	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	5	3	16	ALSIA
75	10:21:32	2020-09-14	2020-09-14 10:21:32	NA	NA	-15.6417965367054	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	5	4	16	ALSIA
45	10:21:56	2020-09-14	2020-09-14 10:21:56	NA	NA	-17.5727898041946	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	5	5	16	ALSIA
55	10:23:49	2020-09-14	2020-09-14 10:23:49	NA	NA	-16.9014220392289	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	5	8	16	ALSIA
25	10:24:26	2020-09-14	2020-09-14 10:24:26	NA	NA	-12.0482765912313	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	5	9	16	ALSIA
85	10:25:03	2020-09-14	2020-09-14 10:25:03	NA	NA	-6.20510368627893	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	5	10	16	ALSIA
15	10:25:40	2020-09-14	2020-09-14 10:25:40	NA	NA	-8.00016031340475	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	5	11	16	ALSIA
65	10:26:18	2020-09-14	2020-09-14 10:26:18	NA	NA	-14.5112893793202	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	5	12	16	ALSIA
