timestamp	date	plantbarcode	genotype	type	Column	Row	replica	potId	irrigation	water_consumed
2020-09-11 11:07:50	2020-09-11	DIC09D11E06	EPPN1_H	Hybrid	16	24	6	c24r16	85	65
2020-09-11 11:08:33	2020-09-11	DIC09D11C06	EPPN3_L	Line	16	26	6	c26r16	85	70
2020-09-11 11:17:48	2020-09-11	DIC09D11H03	EPPN4_H	Hybrid	17	1	3	c1r17	95	75
2020-09-11 11:18:04	2020-09-11	DIC09D11B03	EPPN2_L	Line	17	2	3	c2r17	85	70
2020-09-11 11:18:26	2020-09-11	DIC09D11D03	EPPN4_L	Line	17	3	3	c3r17	85	70
2020-09-11 11:18:57	2020-09-11	DIC09D11A03	EPPN1_L	Line	17	5	3	c5r17	95	70
2020-09-11 11:19:19	2020-09-11	DIC09D11F03	EPPN2_H	Hybrid	17	6	3	c6r17	90	75
2020-09-11 11:19:40	2020-09-11	DIC09D11G03	EPPN3_H	Hybrid	17	7	3	c7r17	90	75
2020-09-11 11:20:36	2020-09-11	DIC09D11E03	EPPN1_H	Hybrid	17	10	3	c10r17	90	70
2020-09-11 11:20:57	2020-09-11	DIC09D11C03	EPPN3_L	Line	17	11	3	c11r17	85	70
2020-09-11 11:21:31	2020-09-11	DIC09D11I03	EPPN20_T	Line	17	13	3	c13r17	75	60
2020-09-11 11:21:45	2020-09-11	DIC09D11G04	EPPN3_H	Hybrid	17	14	4	c14r17	95	80
2020-09-11 11:22:27	2020-09-11	DIC09D11E04	EPPN1_H	Hybrid	17	16	4	c16r17	85	75
2020-09-11 11:22:40	2020-09-11	DIC09D11H04	EPPN4_H	Hybrid	17	17	4	c17r17	90	75
2020-09-11 11:23:00	2020-09-11	DIC09D11C04	EPPN3_L	Line	17	18	4	c18r17	90	70
2020-09-11 11:23:22	2020-09-11	DIC09D11D04	EPPN4_L	Line	17	19	4	c19r17	75	60
2020-09-11 11:23:35	2020-09-11	DIC09D11A04	EPPN1_L	Line	17	20	4	c20r17	85	65
2020-09-11 11:24:18	2020-09-11	DIC09D11F04	EPPN2_H	Hybrid	17	22	4	c22r17	95	80
2020-09-11 11:24:59	2020-09-11	DIC09D11I04	EPPN20_T	Line	17	24	4	c24r17	80	65
2020-09-11 11:25:21	2020-09-11	DIC09D11B04	EPPN2_L	Line	17	25	4	c25r17	80	60
2020-09-11 11:34:21	2020-09-11	DIC09D11G01	EPPN3_H	Hybrid	18	1	1	c1r18	80	65
2020-09-11 11:34:37	2020-09-11	DIC09D11C01	EPPN3_L	Line	18	2	1	c2r18	100	80
2020-09-11 11:35:00	2020-09-11	DIC09D11H01	EPPN4_H	Hybrid	18	3	1	c3r18	80	65
2020-09-11 11:35:30	2020-09-11	DIC09D11B01	EPPN2_L	Line	18	5	1	c5r18	80	65
2020-09-11 11:35:51	2020-09-11	DIC09D11A01	EPPN1_L	Line	18	6	1	c6r18	80	55
2020-09-11 11:36:47	2020-09-11	DIC09D11D01	EPPN4_L	Line	18	9	1	c9r18	85	65
2020-09-11 11:37:08	2020-09-11	DIC09D11F01	EPPN2_H	Hybrid	18	10	1	c10r18	90	65
2020-09-11 11:37:28	2020-09-11	DIC09D11E01	EPPN1_H	Hybrid	18	11	1	c11r18	90	70
2020-09-11 11:37:41	2020-09-11	DIC09D11I01	EPPN20_T	Line	18	12	1	c12r18	80	60
2020-09-11 11:37:55	2020-09-11	DIC09D11G02	EPPN3_H	Hybrid	18	13	2	c13r18	85	75
2020-09-11 11:38:16	2020-09-11	DIC09D11D02	EPPN4_L	Line	18	14	2	c14r18	90	65
2020-09-11 11:38:37	2020-09-11	DIC09D11A02	EPPN1_L	Line	18	15	2	c15r18	90	55
2020-09-11 11:39:40	2020-09-11	DIC09D11C02	EPPN3_L	Line	18	18	2	c18r18	95	60
2020-09-11 11:40:01	2020-09-11	DIC09D11I02	EPPN20_T	Line	18	19	2	c19r18	90	45
2020-09-11 11:40:23	2020-09-11	DIC09D11F02	EPPN2_H	Hybrid	18	20	2	c20r18	90	60
2020-09-11 11:40:49	2020-09-11	DIC09D11H02	EPPN4_H	Hybrid	18	22	2	c22r18	95	55
2020-09-11 11:41:11	2020-09-11	DIC09D11B02	EPPN2_L	Line	18	23	2	c23r18	80	45
2020-09-11 11:42:07	2020-09-11	DIC09D11E02	EPPN1_H	Hybrid	18	26	2	c26r18	85	50
2020-09-14 09:11:06	2020-09-14	DIC09D11G09	EPPN3_H	Hybrid	14	1	9	c1r14	150	135
2020-09-14 09:11:22	2020-09-14	DIC09D11F09	EPPN2_H	Hybrid	14	2	9	c2r14	150	140
2020-09-14 09:12:53	2020-09-14	DIC09D11C09	EPPN3_L	Line	14	5	9	c5r14	130	115
2020-09-14 09:13:31	2020-09-14	DIC09D11D09	EPPN4_L	Line	14	6	9	c6r14	100	90
2020-09-14 09:14:09	2020-09-14	DIC09D11H09	EPPN4_H	Hybrid	14	7	9	c7r14	160	145
2020-09-14 09:14:47	2020-09-14	DIC09D11E09	EPPN1_H	Hybrid	14	8	9	c8r14	145	135
2020-09-14 09:15:25	2020-09-14	DIC09D11I09	EPPN20_T	Line	14	9	9	c9r14	135	120
2020-09-14 09:16:04	2020-09-14	DIC09D11B09	EPPN2_L	Line	14	10	9	c10r14	135	120
2020-09-14 09:17:59	2020-09-14	DIC09D11A09	EPPN1_L	Line	14	13	9	c13r14	160	150
2020-09-14 09:18:36	2020-09-14	DIC09D11E10	EPPN1_H	Hybrid	14	14	10	c14r14	155	140
2020-09-14 09:19:13	2020-09-14	DIC09D11C10	EPPN3_L	Line	14	15	10	c15r14	155	145
2020-09-14 09:19:51	2020-09-14	DIC09D11B10	EPPN2_L	Line	14	16	10	c16r14	105	95
2020-09-14 09:20:29	2020-09-14	DIC09D11D10	EPPN4_L	Line	14	17	10	c17r14	115	105
2020-09-14 09:21:08	2020-09-14	DIC09D11A10	EPPN1_L	Line	14	18	10	c18r14	135	125
2020-09-14 09:21:46	2020-09-14	DIC09D11G10	EPPN3_H	Hybrid	14	19	10	c19r14	135	125
2020-09-14 09:24:19	2020-09-14	DIC09D11H10	EPPN4_H	Hybrid	14	23	10	c23r14	100	90
2020-09-14 09:24:56	2020-09-14	DIC09D11I10	EPPN20_T	Line	14	24	10	c24r14	100	90
2020-09-14 09:25:20	2020-09-14	DIC09D11F10	EPPN2_H	Hybrid	14	25	10	c25r14	125	115
2020-09-14 09:45:24	2020-09-14	DIC09D11A07	EPPN1_L	Line	15	1	7	c1r15	140	125
2020-09-14 09:45:54	2020-09-14	DIC09D11F07	EPPN2_H	Hybrid	15	3	7	c3r15	140	130
2020-09-14 09:46:32	2020-09-14	DIC09D11H07	EPPN4_H	Hybrid	15	4	7	c4r15	115	105
2020-09-14 09:46:56	2020-09-14	DIC09D11E07	EPPN1_H	Hybrid	15	5	7	c5r15	130	120
2020-09-14 09:48:11	2020-09-14	DIC09D11I07	EPPN20_T	Line	15	7	7	c7r15	130	115
2020-09-14 09:49:25	2020-09-14	DIC09D11C07	EPPN3_L	Line	15	9	7	c9r15	140	125
2020-09-14 09:51:05	2020-09-14	DIC09D11D07	EPPN4_L	Line	15	12	7	c12r15	130	120
2020-09-14 09:51:29	2020-09-14	DIC09D11B07	EPPN2_L	Line	15	13	7	c13r15	95	85
2020-09-14 09:52:06	2020-09-14	DIC09D11G07	EPPN3_H	Hybrid	15	14	7	c14r15	145	135
2020-09-14 09:52:44	2020-09-14	DIC09D11B08	EPPN2_L	Line	15	15	8	c15r15	110	95
2020-09-14 09:53:22	2020-09-14	DIC09D11F08	EPPN2_H	Hybrid	15	16	8	c16r15	140	130
2020-09-14 09:54:38	2020-09-14	DIC09D11I08	EPPN20_T	Line	15	18	8	c18r15	125	120
2020-09-14 09:55:16	2020-09-14	DIC09D11E08	EPPN1_H	Hybrid	15	19	8	c19r15	150	140
2020-09-14 09:55:51	2020-09-14	DIC09D11D08	EPPN4_L	Line	15	20	8	c20r15	125	110
2020-09-14 09:56:29	2020-09-14	DIC09D11A08	EPPN1_L	Line	15	21	8	c21r15	170	155
2020-09-14 09:57:07	2020-09-14	DIC09D11C08	EPPN3_L	Line	15	22	8	c22r15	130	120
2020-09-14 09:59:01	2020-09-14	DIC09D11H08	EPPN4_H	Hybrid	15	25	8	c25r15	125	110
2020-09-14 09:59:41	2020-09-14	DIC09D11G08	EPPN3_H	Hybrid	15	26	8	c26r15	130	130
2020-09-14 10:20:24	2020-09-14	DIC09D11D05	EPPN4_L	Line	16	1	5	c1r16	130	120
2020-09-14 10:20:54	2020-09-14	DIC09D11A05	EPPN1_L	Line	16	3	5	c3r16	145	130
