timestamp	date	plantbarcode	genotype	type	Column	Row	replica	potId	solidity.S.000	solidity.S.090	solidity.T.000	areaRaw.S.000	areaRaw.S.090	areaRaw.T.000	convex_hull_areaRaw.S.000	convex_hull_areaRaw.S.090	convex_hull_areaRaw.T.000	height_above_referenceRaw.S.000	height_above_referenceRaw.S.090
2020-09-14 09:18:36	2020-09-14	DIC09D11E10	EPPN1_H	Hybrid	14	14	10	c14r14	0.09398095173210412	0.24147067045516182	0.34222454672245467	30348	28937	45149	322916.5	119836.5	131928	602	603
2020-09-14 09:19:13	2020-09-14	DIC09D11C10	EPPN3_L	Line	14	15	10	c15r14	0.13636205810429408	0.40471874811189656	0.6246027853014566	27491	26794	29287	201603	66204	46889	643	644
2020-09-14 09:19:51	2020-09-14	DIC09D11B10	EPPN2_L	Line	14	16	10	c16r14	0.17747579199511535	0.38478651898134997	0.43394756506669635	11336	8129	13647	63873.5	21126	31448.5	264	266
2020-09-14 09:20:29	2020-09-14	DIC09D11D10	EPPN4_L	Line	14	17	10	c17r14	0.18472498116309335	0.3556241534633194	0.4705018472199913	6742	5645	10252	36497.5	15873.5	21789.5	169	162
2020-09-14 09:21:08	2020-09-14	DIC09D11A10	EPPN1_L	Line	14	18	10	c18r14	0.11745380263393235	0.27522468234564923	0.32336490675163204	24954	19982	28011	212458	72602.5	86623.5	556	546
2020-09-14 09:21:46	2020-09-14	DIC09D11G10	EPPN3_H	Hybrid	14	19	10	c19r14	0.15060500852558703	0.18035220491922574	0.2957834853174935	14662	12392	14142	97354	68710	47812	376	338
2020-09-14 09:24:19	2020-09-14	DIC09D11H10	EPPN4_H	Hybrid	14	23	10	c23r14	0.08053214760987741	0.4421407554005801	0.35611504180832493	20303	21112	29067	252110.5	47749.5	81622.5	558	550
2020-09-14 09:24:56	2020-09-14	DIC09D11I10	EPPN20_T	Line	14	24	10	c24r14	0.14774111338449109	0.25742031764799184	0.3834489795918367	18377	17853	18789	124386.5	69353.5	49000	416	433
2020-09-14 09:25:20	2020-09-14	DIC09D11F10	EPPN2_H	Hybrid	14	25	10	c25r14	0.15223902028759564	0.17340781417660797	0.4319113258490834	29686	27473	37992	194996	158430	87962.5	396	429
2020-09-14 09:45:24	2020-09-14	DIC09D11A07	EPPN1_L	Line	15	1	7	c1r15	0.11529853719619784	0.2815056212840397	0.37506367882548625	25321	25828	30554	219612.5	91749.5	81463.5	536	504
2020-09-14 09:45:54	2020-09-14	DIC09D11F07	EPPN2_H	Hybrid	15	3	7	c3r15	0.16892239054606495	0.1141054740755284	0.40557882007255863	26466	31093	40581	156675.5	272493.5	100057	495	470
2020-09-14 09:46:32	2020-09-14	DIC09D11H07	EPPN4_H	Hybrid	15	4	7	c4r15	0.08735306533316015	0.4986133826352841	0.3254677127338564	21521	24542	26965	246368	49220.5	82850	495	509
2020-09-14 09:46:56	2020-09-14	DIC09D11E07	EPPN1_H	Hybrid	15	5	7	c5r15	0.11934966361570097	0.22694480701539446	0.5052522370639346	30167	24081	33116	252761.5	106109.5	65543.5	524	543
2020-09-14 09:48:11	2020-09-14	DIC09D11I07	EPPN20_T	Line	15	7	7	c7r15	0.1532296593569347	0.409721806163002	0.4474308586745875	12829	10258	12352	83724	25036.5	27606.5	336	302
2020-09-14 09:49:25	2020-09-14	DIC09D11C07	EPPN3_L	Line	15	9	7	c9r15	0.11774331784886587	0.4456169429097606	0.48299244872976355	28781	24197	35115	244438.5	54300	72703	557	586
2020-09-14 09:51:05	2020-09-14	DIC09D11D07	EPPN4_L	Line	15	12	7	c12r15	0.08658669324808946	0.3870897354304937	0.3111929688509758	18893	21288	24077	218197.5	54995	77370	460	490
2020-09-14 09:51:29	2020-09-14	DIC09D11B07	EPPN2_L	Line	15	13	7	c13r15	0.18564790407415127	0.6932270916334662	0.5416503203870799	7571	5220	8284	40781.5	7530	15294	210	181
2020-09-14 09:52:06	2020-09-14	DIC09D11G07	EPPN3_H	Hybrid	15	14	7	c14r15	0.0908461334951834	0.3431537283895299	0.3323276012417594	23350	27570	38110	257028	80343	114676	575	543
2020-09-14 09:52:44	2020-09-14	DIC09D11B08	EPPN2_L	Line	15	15	8	c15r15	0.19717600322413495	0.26846633814607374	0.2940899342544739	13699	15554	20912	69476	57936.5	71107.5	289	295
2020-09-14 09:53:22	2020-09-14	DIC09D11F08	EPPN2_H	Hybrid	15	16	8	c16r15	0.154286228530289	0.2533566120235465	0.24318811813421853	24002	24597	35531	155568	97084.5	146105	380	379
2020-09-14 09:54:38	2020-09-14	DIC09D11I08	EPPN20_T	Line	15	18	8	c18r15	0.20365220535691225	0.165014522876862	0.2975957024518368	11827	12385	12520	58074.5	75054	42070.5	292	312
2020-09-14 09:55:16	2020-09-14	DIC09D11E08	EPPN1_H	Hybrid	15	19	8	c19r15	0.0911813572584708	0.19698386565689827	0.5244932143711756	21266	22434	30686	233227.5	113887.5	58506	542	556
2020-09-14 09:55:51	2020-09-14	DIC09D11D08	EPPN4_L	Line	15	20	8	c20r15	0.09169173322269474	0.28195914875414396	0.40518855927304676	14586	13183	17524	159076.5	46755	43249	438	443
2020-09-14 09:56:29	2020-09-14	DIC09D11A08	EPPN1_L	Line	15	21	8	c21r15	0.14249712870065398	0.1825999810398299	0.3567010886295581	30025	26966	31865	210706	147678	89332.5	446	482
