Date and Time,Type:,Fixture ID:,Measurement:
28/06/2021 09.59.12,Height (mm)                   ,25,"606,00"
28/06/2021 09.57.13,Height (mm)                   ,16,"494,00"
28/06/2021 09.55.44,Height (mm)                   ,7,"538,00"
28/06/2021 09.52.30,Height (mm)                   ,116,"539,00"
28/06/2021 09.50.42,Height (mm)                   ,107,"515,00"
28/06/2021 09.48.59,Height (mm)                   ,98,"555,00"
28/06/2021 09.47.29,Height (mm)                   ,89,"549,00"
28/06/2021 09.46.17,Height (mm)                   ,80,"606,00"
28/06/2021 09.44.43,Height (mm)                   ,71,"556,00"
28/06/2021 09.43.28,Height (mm)                   ,62,"605,00"
28/06/2021 09.41.55,Height (mm)                   ,53,"451,00"
28/06/2021 09.40.36,Height (mm)                   ,44,"415,00"
28/06/2021 09.39.25,Height (mm)                   ,35,"471,00"
28/06/2021 09.38.03,Height (mm)                   ,26,"606,00"
28/06/2021 09.36.05,Height (mm)                   ,17,"605,00"
28/06/2021 09.34.43,Height (mm)                   ,8,"604,00"
28/06/2021 09.31.21,Height (mm)                   ,117,"570,00"
28/06/2021 09.29.34,Height (mm)                   ,108,"605,00"
28/06/2021 09.27.52,Height (mm)                   ,99,"602,00"
28/06/2021 09.26.33,Height (mm)                   ,90,"605,00"
28/06/2021 09.25.15,Height (mm)                   ,81,"479,00"
28/06/2021 09.23.52,Height (mm)                   ,72,"364,00"
28/06/2021 09.22.48,Height (mm)                   ,63,"606,00"
28/06/2021 09.21.13,Height (mm)                   ,54,"605,00"
28/06/2021 09.19.41,Height (mm)                   ,45,"480,00"
28/06/2021 09.18.27,Height (mm)                   ,36,"607,00"
28/06/2021 09.16.50,Height (mm)                   ,27,"514,00"
28/06/2021 09.15.31,Height (mm)                   ,18,"605,00"
28/06/2021 09.14.06,Height (mm)                   ,9,"511,00"
27/06/2021 12.59.13,Height (mm)                   ,109,"604,00"
27/06/2021 12.57.23,Height (mm)                   ,100,"604,00"
27/06/2021 12.55.30,Height (mm)                   ,91,"507,00"
27/06/2021 12.53.24,Height (mm)                   ,82,"461,00"
27/06/2021 12.51.18,Height (mm)                   ,73,"606,00"
27/06/2021 12.49.13,Height (mm)                   ,64,"462,00"
27/06/2021 12.47.06,Height (mm)                   ,55,"573,00"
27/06/2021 12.45.00,Height (mm)                   ,46,"580,00"
27/06/2021 12.42.53,Height (mm)                   ,37,"332,00"
27/06/2021 12.40.49,Height (mm)                   ,28,"605,00"
27/06/2021 12.38.55,Height (mm)                   ,19,"605,00"
27/06/2021 12.36.38,Height (mm)                   ,10,"523,00"
27/06/2021 12.35.20,Height (mm)                   ,1,"465,00"
27/06/2021 12.32.13,Height (mm)                   ,110,"374,00"
27/06/2021 12.30.09,Height (mm)                   ,101,"604,00"
27/06/2021 12.28.17,Height (mm)                   ,92,"601,00"
27/06/2021 12.26.23,Height (mm)                   ,83,"553,00"
27/06/2021 12.24.31,Height (mm)                   ,74,"546,00"
27/06/2021 12.22.26,Height (mm)                   ,65,"522,00"
