Source Name,Characteristic[Organism],Characteristics[Genus],Characteristics[Species],Characteristics[Infraspecific Name],Characteristics[Biological Material Latitude],Characteristics[Biological Material Longitude],Characteristics[Biological Material Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Preprocessing],Characteristics[Material Source ID],Characteristics[Material Source Latitude],Characteristics[Material Source Longitude],Characteristics[Material Source Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Description],Protocol REF,Parameter Value[Container type],Parameter Value[Container volume],Parameter Value[Number of plants per container],Parameter Value[Rooting medium type],Parameter Value[Rooting medium composition],Parameter Value[Rooting medium pH],Parameter Value[Irrigation type],Sample Name,Characteristics[Observation Unit Type],Characteristics[External ID],Characteristics[Spatial Distribution],Factor Value[WaterTreatment]
EPPN6_L,NCBITAXON:4577,Zea,mays,DK4676A,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0045/ZM4530/EPPN6_L/WD1/EPPN_Rep_3/01_45/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0045zm4530eppn6_lwd1eppn_rep_301_45arch2020-02-03,row=1; column=45; rep=3,WD1
EPPN15_H,NCBITAXON:4577,Zea,mays,EC334_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0046/ZM4554/EPPN15_H/WW/EPPN_Rep_4/01_46/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0046zm4554eppn15_hwweppn_rep_401_46arch2020-02-03,row=1; column=46; rep=4,WW
EPPN6_H,NCBITAXON:4577,Zea,mays,DK4676A_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0047/ZM4545/EPPN6_H/WW/EPPN_Rep_4/01_47/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0047zm4545eppn6_hwweppn_rep_401_47arch2020-02-03,row=1; column=47; rep=4,WW
EPPN8_H,NCBITAXON:4577,Zea,mays,DKFAPW_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0048/ZM4547/EPPN8_H/WW/EPPN_Rep_4/01_48/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0048zm4547eppn8_hwweppn_rep_401_48arch2020-02-03,row=1; column=48; rep=4,WW
EPPN12_H,NCBITAXON:4577,Zea,mays,Oh43_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0049/ZM4551/EPPN12_H/WW/EPPN_Rep_4/01_49/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0049zm4551eppn12_hwweppn_rep_401_49arch2020-02-03,row=1; column=49; rep=4,WW
EPPN7_H,NCBITAXON:4577,Zea,mays,B107_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0050/ZM4546/EPPN7_H/WW/EPPN_Rep_4/01_50/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0050zm4546eppn7_hwweppn_rep_401_50arch2020-02-03,row=1; column=50; rep=4,WW
EPPN1_H,NCBITAXON:4577,Zea,mays,B73_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0051/ZM4540/EPPN1_H/WW/EPPN_Rep_4/01_51/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0051zm4540eppn1_hwweppn_rep_401_51arch2020-02-03,row=1; column=51; rep=4,WW
EPPN5_H,NCBITAXON:4577,Zea,mays,PHG83_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0052/ZM4544/EPPN5_H/WW/EPPN_Rep_4/01_52/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0052zm4544eppn5_hwweppn_rep_401_52arch2020-02-03,row=1; column=52; rep=4,WW
EPPN4_H,NCBITAXON:4577,Zea,mays,UH_P148_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0053/ZM4543/EPPN4_H/WW/EPPN_Rep_4/01_53/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0053zm4543eppn4_hwweppn_rep_401_53arch2020-02-03,row=1; column=53; rep=4,WW
EPPN13_H,NCBITAXON:4577,Zea,mays,A347_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0054/ZM4552/EPPN13_H/WW/EPPN_Rep_4/01_54/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0054zm4552eppn13_hwweppn_rep_401_54arch2020-02-03,row=1; column=54; rep=4,WW
