image_id	face	date	type	decile1	decile2	decile3	decile4	decile5	decile6	decile7	decile8	decile9	decile10
ZM009-02714	D	02/04/2021	vertical	5145	44973	62600	70190	45345	34416	18822	17174	6577	4465
ZM009-02714	D	09/04/2021	vertical	5510	54004	75478	78621	61142	49362	44481	44071	45835	35842
ZM009-02714	D	16/04/2021	vertical	4921	51721	85803	98387	79570	79707	70194	85716	101896	117204
ZM009-02714	D	26/04/2021	vertical	2866	44370	88420	103844	85507	81309	70907	83064	102111	114010
ZM009-02715	A	19/03/2021	vertical	4581	390	4	0	9	22	7	0	0	34
ZM009-02715	A	26/03/2021	vertical	4351	2649	1951	774	628	707	665	548	407	1097
ZM009-02715	A	02/04/2021	vertical	31017	23552	21407	10320	10504	8695	3840	896	820	1627
ZM009-02715	A	09/04/2021	vertical	29246	33108	36269	23434	38231	36889	33202	38836	41961	44818
ZM009-02715	A	16/04/2021	vertical	24838	30329	51299	52250	61298	72592	78379	85374	90361	114289
ZM009-02715	A	26/04/2021	vertical	22016	29883	52515	50635	65089	70887	76207	83130	87336	105613
ZM009-02715	B	19/03/2021	vertical	601	37	22	61	8	58	82	8	114	35
ZM009-02715	B	26/03/2021	vertical	2502	1294	1926	1029	1011	322	292	65	472	521
ZM009-02715	B	02/04/2021	vertical	10398	21201	35446	26430	16382	2566	3396	1101	5931	9306
ZM009-02715	B	09/04/2021	vertical	9311	35072	61598	49409	38431	34905	45947	48808	63637	81792
ZM009-02715	B	16/04/2021	vertical	8043	33190	77741	83637	78800	95748	98533	98622	110797	151584
ZM009-02715	B	26/04/2021	vertical	6495	23473	72425	84892	77762	92215	93020	92015	103810	138600
ZM009-02715	C	19/03/2021	vertical	388	2034	1191	411	567	61	15	0	66	143
ZM009-02715	C	26/03/2021	vertical	1375	4172	3596	1781	752	525	275	399	188	856
ZM009-02715	C	02/04/2021	vertical	6775	44072	56254	35240	29804	22871	20609	23220	9603	5835
ZM009-02715	C	09/04/2021	vertical	7382	58413	80112	55270	59862	45640	43391	57053	67898	73821
ZM009-02715	C	16/04/2021	vertical	3628	55096	90304	70316	89138	100019	87139	107843	109530	122571
ZM009-02715	C	26/04/2021	vertical	2813	39089	89537	72636	91706	97361	81094	104045	102630	110899
ZM009-02715	D	19/03/2021	vertical	186	1680	398	699	0	3	5	0	53	37
ZM009-02715	D	26/03/2021	vertical	2826	8361	7844	3245	1088	482	323	225	454	1076
ZM009-02715	D	02/04/2021	vertical	13573	68032	58544	38819	24975	28007	17830	14536	12036	10562
ZM009-02715	D	09/04/2021	vertical	10549	77665	80327	58026	50742	56691	37116	41465	54253	59762
ZM009-02715	D	16/04/2021	vertical	7874	78135	86395	69726	70046	90275	73266	72867	77371	100929
ZM009-02715	D	26/04/2021	vertical	6874	63649	82835	65603	62895	82657	68864	65347	70214	95651
ZM009-02716	A	19/03/2021	vertical	3830	399	191	588	745	82	35	4	217	14
ZM009-02716	A	26/03/2021	vertical	20313	5632	3141	2025	1137	625	528	317	816	5230
ZM009-02716	A	02/04/2021	vertical	41988	25630	22027	16312	12900	16600	6725	518	436	116
