datetime	INPUT1
20/03/2021 01:19	0.003729389
20/03/2021 01:24	0.00363957
20/03/2021 01:29	0.003861048
20/03/2021 01:34	0.003760771
20/03/2021 01:39	0.005408837
20/03/2021 01:44	0.006467725
20/03/2021 01:49	0.007404449
20/03/2021 01:54	0.007606792
20/03/2021 01:59	0.006867181
20/03/2021 02:04	0.006586605
20/03/2021 02:09	0.005263388
20/03/2021 02:14	0.006760536
20/03/2021 02:19	0.007670565
20/03/2021 02:24	0.009039779
20/03/2021 02:29	0.008730362
20/03/2021 02:34	0.008377829
20/03/2021 02:39	0.006652884
20/03/2021 02:44	0.004556007
20/03/2021 02:49	0.005677726
20/03/2021 02:54	0.006513362
20/03/2021 02:59	0.005239929
20/03/2021 03:04	0.003391116
20/03/2021 03:09	0.003628887
20/03/2021 03:14	0.003862632
20/03/2021 03:19	0.003758538
20/03/2021 03:24	0.004372047
20/03/2021 03:29	0.005732288
20/03/2021 03:34	0.006864629
20/03/2021 03:39	0.007172556
20/03/2021 03:44	0.007277861
20/03/2021 03:49	0.00582361
20/03/2021 03:54	0.007379571
20/03/2021 03:59	0.115012629
20/03/2021 04:04	14.98700533
20/03/2021 04:09	51.32795
20/03/2021 04:14	92.12156333
20/03/2021 04:19	96.69329
20/03/2021 04:24	96.55364667
20/03/2021 04:29	96.53034667
20/03/2021 04:34	96.61161667
20/03/2021 04:39	96.67107667
20/03/2021 04:44	96.59237667
20/03/2021 04:49	96.57924
20/03/2021 04:54	96.57802
20/03/2021 04:59	96.5892
20/03/2021 05:04	124.3529833
20/03/2021 05:09	313.9824
20/03/2021 05:14	456.0210333
20/03/2021 05:19	510.1494667
20/03/2021 05:24	508.6997
20/03/2021 05:29	507.5349
20/03/2021 05:34	506.2989333
20/03/2021 05:39	505.7520667
20/03/2021 05:44	505.7502667
20/03/2021 05:49	506.0096333
20/03/2021 05:54	505.8637667
20/03/2021 05:59	505.4598
20/03/2021 06:04	505.2705667
20/03/2021 06:09	505.1775667
20/03/2021 06:14	504.405
20/03/2021 06:19	503.8503333
20/03/2021 06:24	504.2056667
20/03/2021 06:29	504.6018
20/03/2021 06:34	504.4189
20/03/2021 06:39	503.9311
20/03/2021 06:44	503.6182333
20/03/2021 06:49	504.3364
20/03/2021 06:54	505.1686333
20/03/2021 06:59	505.5376667
20/03/2021 07:04	505.3176
20/03/2021 07:09	506.0842333
20/03/2021 07:14	507.0442333
20/03/2021 07:19	506.8093667
20/03/2021 07:24	506.9744333
20/03/2021 07:29	507.4329667
20/03/2021 07:34	508.3936333
20/03/2021 07:39	509.4049658
20/03/2021 07:44	510.7834333
20/03/2021 07:49	510.1625333
20/03/2021 07:54	509.115
20/03/2021 07:59	511.0014667
20/03/2021 08:04	514.3044
20/03/2021 08:09	516.8122
20/03/2021 08:14	517.8036667
20/03/2021 08:19	517.7125333
20/03/2021 08:24	520.2274333
20/03/2021 08:29	522.2835667
20/03/2021 08:34	521.2591333
20/03/2021 08:39	521.3748333
20/03/2021 08:44	523.6503
20/03/2021 08:49	524.9544667
20/03/2021 08:54	524.9991333
20/03/2021 08:59	524.7969667
20/03/2021 09:04	524.6582
20/03/2021 09:09	526.1951
20/03/2021 09:14	530.8145667
20/03/2021 09:19	532.2713667
20/03/2021 09:24	532.3920401
20/03/2021 09:29	533.2503
20/03/2021 09:34	534.8891333
20/03/2021 09:39	537.7294667
20/03/2021 09:44	538.9660667
20/03/2021 09:49	538.789
20/03/2021 09:54	536.8365667
20/03/2021 09:59	535.9224
20/03/2021 10:04	535.092
20/03/2021 10:09	536.7627333
20/03/2021 10:14	537.3215667
20/03/2021 10:19	535.3188333
20/03/2021 10:24	536.2739667
20/03/2021 10:29	538.7118333
20/03/2021 10:34	539.3054667
20/03/2021 10:39	537.0693
20/03/2021 10:44	537.0293
20/03/2021 10:49	538.7071667
20/03/2021 10:54	538.8424333
20/03/2021 10:59	542.0095
20/03/2021 11:04	543.5723
20/03/2021 11:09	547.4387667
20/03/2021 11:14	552.0674333
20/03/2021 11:19	553.7821
20/03/2021 11:24	557.6534
20/03/2021 11:29	561.2837333
20/03/2021 11:34	567.3691333
20/03/2021 11:39	566.4643
20/03/2021 11:44	557.6678333
20/03/2021 11:49	555.4395
20/03/2021 11:54	547.0533667
20/03/2021 11:59	548.7472
20/03/2021 12:04	555.8647
20/03/2021 12:09	558.7802667
20/03/2021 12:14	564.0389667
20/03/2021 12:19	567.6043
20/03/2021 12:24	565.0763667
20/03/2021 12:29	566.8324
20/03/2021 12:34	568.3812333
20/03/2021 12:39	566.7335
20/03/2021 12:44	568.0400333
20/03/2021 12:49	567.4117333
20/03/2021 12:54	566.9676
20/03/2021 12:59	565.5764667
20/03/2021 13:04	569.1089667
20/03/2021 13:09	572.6054
20/03/2021 13:14	572.5719521
20/03/2021 13:19	573.3873
20/03/2021 13:24	575.4406667
20/03/2021 13:29	576.761
20/03/2021 13:34	572.1848
20/03/2021 13:39	574.9825333
20/03/2021 13:44	576.7409333
20/03/2021 13:49	578.5481667
20/03/2021 13:54	575.7763333
20/03/2021 13:59	568.1166667
20/03/2021 14:04	553.0139
20/03/2021 14:09	551.4547667
20/03/2021 14:14	552.0370333
20/03/2021 14:19	551.2520667
20/03/2021 14:24	555.3571
20/03/2021 14:29	559.6774667
20/03/2021 14:34	556.1744
20/03/2021 14:39	546.4301667
20/03/2021 14:44	544.6493
20/03/2021 14:49	547.1468667
20/03/2021 14:54	542.6068
20/03/2021 14:59	535.5051
20/03/2021 15:04	538.1284
20/03/2021 15:09	543.8119398
20/03/2021 15:14	537.6953333
20/03/2021 15:19	529.3554
20/03/2021 15:24	531.8994667
20/03/2021 15:29	534.2797333
20/03/2021 15:34	531.8351
20/03/2021 15:39	534.5474
20/03/2021 15:44	538.7241667
20/03/2021 15:49	534.7448667
20/03/2021 15:54	526.1793667
20/03/2021 15:59	527.5296667
20/03/2021 16:04	524.639
20/03/2021 16:09	523.6704
20/03/2021 16:14	529.4572
20/03/2021 16:19	531.9165333
20/03/2021 16:24	529.0076
20/03/2021 16:29	529.0690333
20/03/2021 16:34	531.6719667
20/03/2021 16:39	530.6081
20/03/2021 16:44	522.2864
20/03/2021 16:49	515.1348
20/03/2021 16:54	516.5613
20/03/2021 16:59	519.0924
20/03/2021 17:04	520.4072
20/03/2021 17:09	515.7812
20/03/2021 17:14	510.4026667
20/03/2021 17:19	511.0443333
20/03/2021 17:24	508.0451
20/03/2021 17:29	507.3474667
