image_id	face	date	type	decile1	decile2	decile3	decile4	decile5	decile6	decile7	decile8	decile9	decile10
ZM009-02712	B	26/04/2021	lateral	4165	12030	15499	22540	28068	47301	25458	44480	49859	59923
ZM009-02712	C	19/03/2021	lateral	93	70	20	148	141	0	60	11	110	76
ZM009-02712	C	26/03/2021	lateral	310	2829	2244	4140	2372	679	445	546	550	7506
ZM009-02712	C	02/04/2021	lateral	1678	9856	7409	8770	6519	4779	5077	2041	1450	2350
ZM009-02712	C	09/04/2021	lateral	2536	10736	7838	9001	8373	15227	10689	6980	4100	6631
ZM009-02712	C	16/04/2021	lateral	3128	11949	10565	11702	19008	27937	31753	23712	22607	36448
ZM009-02712	C	26/04/2021	lateral	2280	9131	14789	15754	24859	35724	41385	29328	35767	52886
ZM009-02712	D	19/03/2021	lateral	594	882	206	17	79	15	15	15	222	19
ZM009-02712	D	26/03/2021	lateral	1999	2367	2243	857	563	399	518	712	571	10093
ZM009-02712	D	02/04/2021	lateral	3384	4703	4735	5469	5750	3991	2111	5645	3263	5539
ZM009-02712	D	09/04/2021	lateral	4567	9326	7723	9916	12297	15606	11476	9913	9441	5811
ZM009-02712	D	16/04/2021	lateral	5101	12239	11548	15092	17319	28115	28643	28937	32777	38268
ZM009-02712	D	26/04/2021	lateral	4820	11343	13079	20187	27773	37770	42190	36240	39245	45621
ZM009-02713	A	19/03/2021	lateral	2671	895	3901	216	7	14	24	21	56	888
ZM009-02713	A	26/03/2021	lateral	8513	3798	2971	1722	954	407	346	748	95	8011
ZM009-02713	A	02/04/2021	lateral	12577	11144	22921	15718	17327	12979	8697	8659	4534	7217
ZM009-02713	A	09/04/2021	lateral	11033	13483	27718	23790	23466	22581	26907	21384	18629	17641
ZM009-02713	A	16/04/2021	lateral	5843	11674	30971	27410	33648	30781	36345	29547	25826	28979
ZM009-02713	A	26/04/2021	lateral	4921	11510	35781	34827	41559	38675	46002	37494	34700	37283
ZM009-02713	B	19/03/2021	lateral	229	1225	341	49	0	2	0	0	78	22
ZM009-02713	B	26/03/2021	lateral	939	4947	3137	4025	1806	412	721	129	244	6149
ZM009-02713	B	02/04/2021	lateral	2080	16446	23695	17615	16604	11917	11306	8690	5274	6599
ZM009-02713	B	09/04/2021	lateral	3003	18221	28648	23118	24327	18185	18603	21081	14567	28383
ZM009-02713	B	16/04/2021	lateral	2814	17992	29580	23640	30467	22022	32738	34086	20099	37229
ZM009-02713	B	26/04/2021	lateral	2704	16985	34230	27599	37242	31928	40918	43414	27566	42377
ZM009-02713	C	19/03/2021	lateral	0	0	0	52	0	0	76	8	21	62
ZM009-02713	C	26/03/2021	lateral	28	426	1271	458	132	479	443	351	294	2558
ZM009-02713	C	02/04/2021	lateral	770	7826	11118	8011	10185	14599	12310	10233	10270	8896
ZM009-02713	C	09/04/2021	lateral	1296	9575	14937	13697	17992	21209	23061	22165	21764	34086
ZM009-02713	C	16/04/2021	lateral	1400	8722	15401	15183	18370	25013	29407	34093	33584	47769
ZM009-02713	C	26/04/2021	lateral	1297	7939	18472	21030	24191	29118	39035	46148	43610	53260
ZM009-02713	D	19/03/2021	lateral	455	1838	304	211	0	7	5	63	97	391
ZM009-02713	D	26/03/2021	lateral	1567	6292	5706	4335	3037	813	361	456	565	7409
ZM009-02713	D	02/04/2021	lateral	3647	11051	20096	24592	17892	10641	5300	3112	2453	1730
ZM009-02713	D	09/04/2021	lateral	5715	14671	25139	31682	29131	32722	29708	15989	16663	19204
ZM009-02713	D	16/04/2021	lateral	3916	12655	24881	31433	34134	39067	40490	28205	23518	39377
ZM009-02713	D	26/04/2021	lateral	3067	9516	27776	38494	40166	42327	46105	33302	31626	49256
ZM009-02714	A	19/03/2021	lateral	2395	732	703	190	352	127	36	2	23	117
ZM009-02714	A	26/03/2021	lateral	10266	13244	8310	6792	7222	7168	4779	2814	1085	13077
